referencia;nombre_actual;nombre_nuevo;categoria;archivo_imagen;pagina_pdf;nota
CAD-032;Cadena 32;;Cadenas;cadena-32.jpg;9;
CAD-033;Cadena 33;;Cadenas;cadena-33.jpg;10;
CAD-034;Cadena 34;;Cadenas;cadena-34.jpg;10;
CAD-035;Cadena 35;;Cadenas;cadena-35.jpg;10;
CAD-036;Cadena 36;;Cadenas;cadena-36.jpg;10;
CAD-037;Cadena 37;;Cadenas;cadena-37.jpg;11;
CAD-038;Cadena 38;;Cadenas;cadena-38.jpg;11;
CAD-039;Cadena 39;;Cadenas;cadena-39.jpg;11;
CAD-040;Cadena 40;;Cadenas;cadena-40.jpg;11;
CAD-041;Cadena 41;;Cadenas;cadena-41.jpg;12;
CAD-042;Cadena 42;;Cadenas;cadena-42.jpg;12;
CAD-043;Cadena 43;;Cadenas;cadena-43.jpg;12;
CAD-044;Cadena 44;;Cadenas;cadena-44.jpg;12;
CAD-045;Cadena 45;;Cadenas;cadena-45.jpg;13;
CAD-046;Cadena 46;;Cadenas;cadena-46.jpg;13;
CAD-047;Cadena 47;;Cadenas;cadena-47.jpg;13;
CAD-048;Cadena 48;;Cadenas;cadena-48.jpg;13;
PUL-001;Pulsera 01;;Pulseras;pulsera-01.jpg;14;
PUL-002;Pulsera 02;;Pulseras;pulsera-02.jpg;14;
PUL-003;Pulsera 03;;Pulseras;pulsera-03.jpg;14;
PUL-004;Pulsera 04;;Pulseras;pulsera-04.jpg;14;
PUL-005;Pulsera 05;;Pulseras;pulsera-05.jpg;15;
PUL-006;Pulsera 06;;Pulseras;pulsera-06.jpg;15;
PUL-007;Pulsera 07;;Pulseras;pulsera-07.jpg;15;
PUL-008;Pulsera 08;;Pulseras;pulsera-08.jpg;15;
PUL-009;Pulsera 09;;Pulseras;pulsera-09.jpg;16;
PUL-010;Pulsera 10;;Pulseras;pulsera-10.jpg;16;
PUL-011;Pulsera 11;;Pulseras;pulsera-11.jpg;16;
PUL-012;Pulsera 12;;Pulseras;pulsera-12.jpg;16;
PUL-013;Pulsera 13;;Pulseras;pulsera-13.jpg;17;
PUL-014;Pulsera 14;;Pulseras;pulsera-14.jpg;17;
PUL-015;Pulsera 15;;Pulseras;pulsera-15.jpg;17;
PUL-016;Pulsera 16;;Pulseras;pulsera-16.jpg;17;
PUL-017;Pulsera 17;;Pulseras;pulsera-17.jpg;18;
PUL-018;Pulsera 18;;Pulseras;pulsera-18.jpg;18;
PUL-019;Pulsera 19;;Pulseras;pulsera-19.jpg;18;
PUL-020;Pulsera 20;;Pulseras;pulsera-20.jpg;18;
ANI-001;Anillo 01;;Anillos;anillo-01.jpg;19;
ANI-002;Anillo 02;;Anillos;anillo-02.jpg;19;
ANI-003;Anillo 03;;Anillos;anillo-03.jpg;19;
ANI-004;Anillo 04;;Anillos;anillo-04.jpg;19;
ANI-005;Anillo 05;;Anillos;anillo-05.jpg;20;
ANI-006;Anillo 06;;Anillos;anillo-06.jpg;20;
ARE-001;Arete 01;;Aretes;arete-01.jpg;21;
ARE-002;Arete 02;;Aretes;arete-02.jpg;21;
ARE-003;Arete 03;;Aretes;arete-03.jpg;21;
ARE-004;Arete 04;;Aretes;arete-04.jpg;21;
ARE-005;Arete 05;;Aretes;arete-05.jpg;22;
ARE-006;Arete 06;;Aretes;arete-06.jpg;22;
ARE-007;Arete 07;;Aretes;arete-07.jpg;22;
ARE-008;Arete 08;;Aretes;arete-08.jpg;22;
ARE-009;Arete 09;;Aretes;arete-09.jpg;23;
ARE-010;Arete 10;;Aretes;arete-10.jpg;23;
ARE-011;Arete 11;;Aretes;arete-11.jpg;23;
ARE-012;Arete 12;;Aretes;arete-12.jpg;23;
ARE-013;Arete 13;;Aretes;arete-13.jpg;24;
ARE-014;Arete 14;;Aretes;arete-14.jpg;24;
ARE-015;Arete 15;;Aretes;arete-15.jpg;24;foto repetida con: arete-36.jpg, arete-37.jpg
ARE-016;Arete 16;;Aretes;arete-16.jpg;24;
ARE-017;Arete 17;;Aretes;arete-17.jpg;25;foto repetida con: arete-35.jpg
ARE-018;Arete 18;;Aretes;arete-18.jpg;25;
ARE-019;Arete 19;;Aretes;arete-19.jpg;25;
ARE-020;Arete 20;;Aretes;arete-20.jpg;25;
ARE-021;Arete 21;;Aretes;arete-21.jpg;26;
ARE-022;Arete 22;;Aretes;arete-22.jpg;26;
ARE-023;Arete 23;;Aretes;arete-23.jpg;26;
ARE-024;Arete 24;;Aretes;arete-24.jpg;26;
ARE-025;Arete 25;;Aretes;arete-25.jpg;27;
ARE-026;Arete 26;;Aretes;arete-26.jpg;27;
ARE-027;Arete 27;;Aretes;arete-27.jpg;27;
ARE-028;Arete 28;;Aretes;arete-28.jpg;27;
ARE-029;Arete 29;;Aretes;arete-29.jpg;28;
ARE-030;Arete 30;;Aretes;arete-30.jpg;28;
ARE-031;Arete 31;;Aretes;arete-31.jpg;28;
ARE-032;Arete 32;;Aretes;arete-32.jpg;28;
ARE-033;Arete 33;;Aretes;arete-33.jpg;29;
ARE-034;Arete 34;;Aretes;arete-34.jpg;29;
ARE-035;Arete 35;;Aretes;arete-35.jpg;29;foto repetida con: arete-17.jpg
ARE-036;Arete 36;;Aretes;arete-36.jpg;29;foto repetida con: arete-15.jpg, arete-37.jpg
ARE-037;Arete 37;;Aretes;arete-37.jpg;30;foto repetida con: arete-15.jpg, arete-36.jpg
DIJ-001;Dije 01;;Dijes;dije-01.jpg;31;
DIJ-002;Dije 02;;Dijes;dije-02.jpg;31;
DIJ-003;Dije 03;;Dijes;dije-03.jpg;31;
DIJ-004;Dije 04;;Dijes;dije-04.jpg;31;
DIJ-005;Dije 05;;Dijes;dije-05.jpg;32;
DIJ-006;Dije 06;;Dijes;dije-06.jpg;32;
DIJ-007;Dije 07;;Dijes;dije-07.jpg;32;
DIJ-008;Dije 08;;Dijes;dije-08.jpg;32;
DIJ-009;Dije 09;;Dijes;dije-09.jpg;33;
DIJ-010;Dije 10;;Dijes;dije-10.jpg;33;
DIJ-011;Dije 11;;Dijes;dije-11.jpg;33;
DIJ-012;Dije 12;;Dijes;dije-12.jpg;33;
DIJ-013;Dije 13;;Dijes;dije-13.jpg;34;
DIJ-014;Dije 14;;Dijes;dije-14.jpg;34;
DIJ-015;Dije 15;;Dijes;dije-15.jpg;34;
DIJ-016;Dije 16;;Dijes;dije-16.jpg;34;
DIJ-017;Dije 17;;Dijes;dije-17.jpg;35;
DIJ-018;Dije 18;;Dijes;dije-18.jpg;35;
DIJ-019;Dije 19;;Dijes;dije-19.jpg;35;
DIJ-020;Dije 20;;Dijes;dije-20.jpg;35;
DIJ-021;Dije 21;;Dijes;dije-21.jpg;36;
DIJ-022;Dije 22;;Dijes;dije-22.jpg;36;
DIJ-023;Dije 23;;Dijes;dije-23.jpg;36;
DIJ-024;Dije 24;;Dijes;dije-24.jpg;36;
DIJ-025;Dije 25;;Dijes;dije-25.jpg;37;
DIJ-026;Dije 26;;Dijes;dije-26.jpg;37;
DIJ-027;Dije 27;;Dijes;dije-27.jpg;37;
DIJ-028;Dije 28;;Dijes;dije-28.jpg;37;
DIJ-029;Dije 29;;Dijes;dije-29.jpg;38;
DIJ-030;Dije 30;;Dijes;dije-30.jpg;38;
DIJ-031;Dije 31;;Dijes;dije-31.jpg;38;
DIJ-032;Dije 32;;Dijes;dije-32.jpg;38;
DIJ-033;Dije 33;;Dijes;dije-33.jpg;39;
DIJ-034;Dije 34;;Dijes;dije-34.jpg;39;
DIJ-035;Dije 35;;Dijes;dije-35.jpg;39;
DIJ-036;Dije 36;;Dijes;dije-36.jpg;39;
DIJ-037;Dije 37;;Dijes;dije-37.jpg;40;
DIJ-038;Dije 38;;Dijes;dije-38.jpg;40;
DIJ-039;Dije 39;;Dijes;dije-39.jpg;40;
DIJ-040;Dije 40;;Dijes;dije-40.jpg;40;
DIJ-041;Dije 41;;Dijes;dije-41.jpg;41;
DIJ-042;Dije 42;;Dijes;dije-42.jpg;41;
DIJ-043;Dije 43;;Dijes;dije-43.jpg;41;
DIJ-044;Dije 44;;Dijes;dije-44.jpg;41;
DIJ-045;Dije 45;;Dijes;dije-45.jpg;42;
DIJ-046;Dije 46;;Dijes;dije-46.jpg;42;
DIJ-047;Dije 47;;Dijes;dije-47.jpg;42;
DIJ-048;Dije 48;;Dijes;dije-48.jpg;42;
DIJ-049;Dije 49;;Dijes;dije-49.jpg;43;
DIJ-050;Dije 50;;Dijes;dije-50.jpg;43;
DIJ-051;Dije 51;;Dijes;dije-51.jpg;43;
DIJ-052;Dije 52;;Dijes;dije-52.jpg;43;
DIJ-053;Dije 53;;Dijes;dije-53.jpg;44;
DIJ-054;Dije 54;;Dijes;dije-54.jpg;44;
DIJ-055;Dije 55;;Dijes;dije-55.jpg;44;
DIJ-056;Dije 56;;Dijes;dije-56.jpg;44;
DIJ-057;Dije 57;;Dijes;dije-57.jpg;45;
DIJ-058;Dije 58;;Dijes;dije-58.jpg;45;
DIJ-059;Dije 59;;Dijes;dije-59.jpg;45;
DIJ-060;Dije 60;;Dijes;dije-60.jpg;45;
DIJ-061;Dije 61;;Dijes;dije-61.jpg;46;
DIJ-062;Dije 62;;Dijes;dije-62.jpg;46;
DIJ-063;Dije 63;;Dijes;dije-63.jpg;46;
DIJ-064;Dije 64;;Dijes;dije-64.jpg;46;
DIJ-065;Dije 65;;Dijes;dije-65.jpg;47;
DIJ-066;Dije 66;;Dijes;dije-66.jpg;47;
DIJ-067;Dije 67;;Dijes;dije-67.jpg;47;
DIJ-068;Dije 68;;Dijes;dije-68.jpg;47;
DIJ-069;Dije 69;;Dijes;dije-69.jpg;48;
DIJ-070;Dije 70;;Dijes;dije-70.jpg;48;
DIJ-071;Dije 71;;Dijes;dije-71.jpg;48;
DIJ-072;Dije 72;;Dijes;dije-72.jpg;48;
DIJ-073;Dije 73;;Dijes;dije-73.jpg;49;
COM-001;Combo 01;;Combos;combo-01.jpg;50;
COM-002;Combo 02;;Combos;combo-02.jpg;50;
COM-003;Combo 03;;Combos;combo-03.jpg;50;
COM-004;Combo 04;;Combos;combo-04.jpg;50;
COM-005;Combo 05;;Combos;combo-05.jpg;51;
COM-006;Combo 06;;Combos;combo-06.jpg;51;
COM-007;Combo 07;;Combos;combo-07.jpg;51;
COM-008;Combo 08;;Combos;combo-08.jpg;51;
COM-009;Combo 09;;Combos;combo-09.jpg;52;
COM-010;Combo 10;;Combos;combo-10.jpg;52;
COM-011;Combo 11;;Combos;combo-11.jpg;52;
COM-012;Combo 12;;Combos;combo-12.jpg;52;
COM-013;Combo 13;;Combos;combo-13.jpg;53;
COM-014;Combo 14;;Combos;combo-14.jpg;53;
COM-015;Combo 15;;Combos;combo-15.jpg;53;
COM-016;Combo 16;;Combos;combo-16.jpg;53;
COM-017;Combo 17;;Combos;combo-17.jpg;54;
ROS-001;Rosario 01;;Rosarios;rosario-01.jpg;55;
ROS-002;Rosario 02;;Rosarios;rosario-02.jpg;55;
CAN-001;Candonga 01;;Candongas;candonga-01.jpg;56;foto repetida con: candonga-36.jpg
CAN-002;Candonga 02;;Candongas;candonga-02.jpg;56;
CAN-003;Candonga 03;;Candongas;candonga-03.jpg;56;foto repetida con: candonga-25.jpg
CAN-004;Candonga 04;;Candongas;candonga-04.jpg;56;
CAN-005;Candonga 05;;Candongas;candonga-05.jpg;57;
CAN-006;Candonga 06;;Candongas;candonga-06.jpg;57;foto repetida con: candonga-22.jpg
CAN-007;Candonga 07;;Candongas;candonga-07.jpg;57;
CAN-008;Candonga 08;;Candongas;candonga-08.jpg;57;
CAN-009;Candonga 09;;Candongas;candonga-09.jpg;58;
CAN-010;Candonga 10;;Candongas;candonga-10.jpg;58;
CAN-011;Candonga 11;;Candongas;candonga-11.jpg;58;
CAN-012;Candonga 12;;Candongas;candonga-12.jpg;58;
CAN-013;Candonga 13;;Candongas;candonga-13.jpg;59;
CAN-014;Candonga 14;;Candongas;candonga-14.jpg;59;
CAN-015;Candonga 15;;Candongas;candonga-15.jpg;59;
CAN-016;Candonga 16;;Candongas;candonga-16.jpg;59;
CAN-017;Candonga 17;;Candongas;candonga-17.jpg;60;
CAN-018;Candonga 18;;Candongas;candonga-18.jpg;60;
CAN-019;Candonga 19;;Candongas;candonga-19.jpg;60;
CAN-020;Candonga 20;;Candongas;candonga-20.jpg;60;
CAN-021;Candonga 21;;Candongas;candonga-21.jpg;61;
CAN-022;Candonga 22;;Candongas;candonga-22.jpg;61;foto repetida con: candonga-06.jpg
CAN-023;Candonga 23;;Candongas;candonga-23.jpg;61;
CAN-024;Candonga 24;;Candongas;candonga-24.jpg;61;
CAN-025;Candonga 25;;Candongas;candonga-25.jpg;62;foto repetida con: candonga-03.jpg
CAN-026;Candonga 26;;Candongas;candonga-26.jpg;62;
CAN-027;Candonga 27;;Candongas;candonga-27.jpg;62;
CAN-028;Candonga 28;;Candongas;candonga-28.jpg;62;
CAN-029;Candonga 29;;Candongas;candonga-29.jpg;63;foto repetida con: candonga-38.jpg
CAN-030;Candonga 30;;Candongas;candonga-30.jpg;63;
CAN-031;Candonga 31;;Candongas;candonga-31.jpg;63;
CAN-032;Candonga 32;;Candongas;candonga-32.jpg;63;
CAN-033;Candonga 33;;Candongas;candonga-33.jpg;64;
CAN-034;Candonga 34;;Candongas;candonga-34.jpg;64;
CAN-035;Candonga 35;;Candongas;candonga-35.jpg;64;
CAN-036;Candonga 36;;Candongas;candonga-36.jpg;64;foto repetida con: candonga-01.jpg
CAN-037;Candonga 37;;Candongas;candonga-37.jpg;65;
CAN-038;Candonga 38;;Candongas;candonga-38.jpg;65;foto repetida con: candonga-29.jpg
